v9 Active Learning — Top Uncertain Samples
=======================================================
Scored 1278 pool samples (average margin across 4 quadrants)

Rank  Score    Sample
  42. 0.3606  QTP_Wetland_2020_chip_02108_lc1_G31_13_tp0518
  43. 0.3598  QTP_Wetland_2020_chip_00715_lc0_G30_07_tp0518
  44. 0.3572  QTP_Wetland_2020_chip_00898_lc0_G20_08_tp0518
  45. 0.3562  QTP_Wetland_2020_chip_02011_lc1_G22_12_tp0518
  46. 0.3559  QTP_Wetland_2020_chip_00550_lc0_G23_06_tp0518
  47. 0.3541  QTP_Wetland_2020_chip_01991_lc0_G20_11_tp0518
  48. 0.3539  QTP_Wetland_2020_chip_01629_lc3_G33_10_tp0518
  49. 0.3527  QTP_Wetland_2020_chip_01155_lc1_G25_09_tp0518
  50. 0.3526  QTP_Wetland_2020_chip_00823_lc1_G30_07_tp0518
  51. 0.3524  QTP_Wetland_2020_chip_01062_lc3_G28_08_tp0518
  52. 0.3512  QTP_Wetland_2020_chip_01924_lc0_G07_11_tp0518
  53. 0.3506  QTP_Wetland_2020_chip_01314_lc3_G32_09_tp0518
  54. 0.3502  QTP_Wetland_2020_chip_01681_lc0_G12_10_tp0518
  55. 0.3501  QTP_Wetland_2020_chip_01997_lc0_G19_12_tp0518
  56. 0.3494  QTP_Wetland_2020_chip_01622_lc0_G33_10_tp0518
  57. 0.3480  QTP_Wetland_2020_chip_00397_lc0_G14_05_tp0518
  58. 0.3479  QTP_Wetland_2020_chip_00582_lc1_G32_06_tp0518
  59. 0.3474  QTP_Wetland_2020_chip_02013_lc1_G20_12_tp0518
  60. 0.3472  QTP_Wetland_2020_chip_01972_lc1_G22_11_tp0518
  61. 0.3459  QTP_Wetland_2020_chip_01938_lc0_G07_11_tp0518
  62. 0.3445  QTP_Wetland_2020_chip_01937_lc1_G22_11_tp0518
  63. 0.3418  QTP_Wetland_2020_chip_00792_lc0_G32_07_tp0518
  64. 0.3416  QTP_Wetland_2020_chip_01026_lc3_G32_08_tp0518
  65. 0.3411  QTP_Wetland_2020_chip_00773_lc0_G32_07_tp0518
  66. 0.3395  QTP_Wetland_2020_chip_00560_lc3_G35_06_tp0518
  67. 0.3395  QTP_Wetland_2020_chip_01466_lc3_G32_09_tp0518
  68. 0.3388  QTP_Wetland_2020_chip_00797_lc0_G31_07_tp0518
  69. 0.3382  QTP_Wetland_2020_chip_01673_lc3_G14_10_tp0518
  70. 0.3382  QTP_Wetland_2020_chip_01324_lc3_G33_09_tp0518
  71. 0.3370  QTP_Wetland_2020_chip_02021_lc1_G22_12_tp0518
  72. 0.3370  QTP_Wetland_2020_chip_02103_lc1_G06_13_tp0518
  73. 0.3368  QTP_Wetland_2020_chip_00830_lc2_G26_07_tp0518
  74. 0.3365  QTP_Wetland_2020_chip_01647_lc3_G05_10_tp0518
  75. 0.3363  QTP_Wetland_2020_chip_00837_lc3_G31_08_tp0518
  76. 0.3360  QTP_Wetland_2020_chip_02141_lc3_G06_13_tp0518
  77. 0.3359  QTP_Wetland_2020_chip_00655_lc3_G28_07_tp0518
  78. 0.3352  QTP_Wetland_2020_chip_02014_lc0_G22_12_tp0518
  79. 0.3350  QTP_Wetland_2020_chip_02105_lc3_G22_13_tp0518
  80. 0.3340  QTP_Wetland_2020_chip_00793_lc0_G31_07_tp0518
  81. 0.3315  QTP_Wetland_2020_chip_00382_lc1_G31_05_tp0518
  82. 0.3309  QTP_Wetland_2020_chip_00815_lc3_G28_07_tp0518
  83. 0.3298  QTP_Wetland_2020_chip_00679_lc0_G31_07_tp0518
  84. 0.3292  QTP_Wetland_2020_chip_01308_lc1_G11_09_tp0518
  85. 0.3290  QTP_Wetland_2020_chip_00834_lc0_G31_07_tp0518
  86. 0.3290  QTP_Wetland_2020_chip_00786_lc0_G31_07_tp0518
  87. 0.3278  QTP_Wetland_2020_chip_00643_lc1_G31_07_tp0518
  88. 0.3273  QTP_Wetland_2020_chip_01906_lc0_G07_11_tp0518
  89. 0.3265  QTP_Wetland_2020_chip_01893_lc2_G22_11_tp0518
  90. 0.3262  QTP_Wetland_2020_chip_00599_lc1_G31_06_tp0518
  91. 0.3260  QTP_Wetland_2020_chip_00558_lc3_G35_06_tp0518
  92. 0.3256  QTP_Wetland_2020_chip_00639_lc1_G29_07_tp0518
  93. 0.3251  QTP_Wetland_2020_chip_01444_lc1_G33_09_tp0518
  94. 0.3240  QTP_Wetland_2020_chip_01978_lc1_G20_11_tp0518
  95. 0.3239  QTP_Wetland_2020_chip_01949_lc0_G22_11_tp0518
  96. 0.3231  QTP_Wetland_2020_chip_01925_lc3_G10_11_tp0518
  97. 0.3229  QTP_Wetland_2020_chip_01543_lc0_G14_10_tp0518
  98. 0.3227  QTP_Wetland_2020_chip_02176_lc0_G06_14_tp0518
  99. 0.3222  QTP_Wetland_2020_chip_01903_lc0_G07_11_tp0518
 100. 0.3202  QTP_Wetland_2020_chip_01220_lc1_G25_09_tp0518
 101. 0.3197  QTP_Wetland_2020_chip_01565_lc0_G29_10_tp0518
 102. 0.3189  QTP_Wetland_2020_chip_00842_lc2_G16_08_tp0518
 103. 0.3177  QTP_Wetland_2020_chip_01085_lc3_G32_08_tp0518
 104. 0.3173  QTP_Wetland_2020_chip_01733_lc3_G32_10_tp0518
 105. 0.3172  QTP_Wetland_2020_chip_01188_lc1_G25_09_tp0518
 106. 0.3170  QTP_Wetland_2020_chip_01690_lc3_G13_10_tp0518
 107. 0.3163  QTP_Wetland_2020_chip_00755_lc1_G30_07_tp0518
 108. 0.3163  QTP_Wetland_2020_chip_01757_lc3_G12_10_tp0518
 109. 0.3163  QTP_Wetland_2020_chip_01950_lc0_G07_11_tp0518
 110. 0.3153  QTP_Wetland_2020_chip_01457_lc3_G32_09_tp0518
 111. 0.3152  QTP_Wetland_2020_chip_00700_lc3_G31_07_tp0518
 112. 0.3151  QTP_Wetland_2020_chip_01944_lc3_G07_11_tp0518
 113. 0.3151  QTP_Wetland_2020_chip_00611_lc1_G31_06_tp0518
 114. 0.3140  QTP_Wetland_2020_chip_00914_lc2_G13_08_tp0518
 115. 0.3139  QTP_Wetland_2020_chip_01839_lc2_G34_11_tp0518
 116. 0.3135  QTP_Wetland_2020_chip_01718_lc3_G33_10_tp0518
 117. 0.3128  QTP_Wetland_2020_chip_00860_lc0_G31_08_tp0518
 118. 0.3126  QTP_Wetland_2020_chip_00545_lc0_G23_06_tp0518
 119. 0.3125  QTP_Wetland_2020_chip_00763_lc1_G30_07_tp0518
 120. 0.3114  QTP_Wetland_2020_chip_01939_lc1_G22_11_tp0518
 121. 0.3110  QTP_Wetland_2020_chip_01704_lc0_G05_10_tp0518
 122. 0.3109  QTP_Wetland_2020_chip_01934_lc0_G07_11_tp0518
 123. 0.3107  QTP_Wetland_2020_chip_01282_lc3_G13_09_tp0518
 124. 0.3101  QTP_Wetland_2020_chip_01393_lc3_G32_09_tp0518
 125. 0.3098  QTP_Wetland_2020_chip_00530_lc2_G18_06_tp0518
 126. 0.3098  QTP_Wetland_2020_chip_00751_lc2_G15_07_tp0518
 127. 0.3079  QTP_Wetland_2020_chip_01619_lc3_G07_10_tp0518
 128. 0.3079  QTP_Wetland_2020_chip_00907_lc1_G29_08_tp0518
 129. 0.3075  QTP_Wetland_2020_chip_00543_lc0_G23_06_tp0518
 130. 0.3070  QTP_Wetland_2020_chip_01835_lc3_G33_11_tp0518
 131. 0.3067  QTP_Wetland_2020_chip_01047_lc0_G36_08_tp0518
 132. 0.3065  QTP_Wetland_2020_chip_00503_lc3_G32_06_tp0518
 133. 0.3065  QTP_Wetland_2020_chip_02174_lc0_G06_14_tp0518
 134. 0.3063  QTP_Wetland_2020_chip_00552_lc1_G35_06_tp0518
 135. 0.3060  QTP_Wetland_2020_chip_01981_lc1_G20_11_tp0518
 136. 0.3057  QTP_Wetland_2020_chip_01310_lc3_G32_09_tp0518
 137. 0.3053  QTP_Wetland_2020_chip_01329_lc3_G33_09_tp0518
 138. 0.3050  QTP_Wetland_2020_chip_01181_lc3_G17_09_tp0518
 139. 0.3047  QTP_Wetland_2020_chip_01636_lc2_G30_10_tp0518
 140. 0.3042  QTP_Wetland_2020_chip_01956_lc1_G07_11_tp0518
 141. 0.3028  QTP_Wetland_2020_chip_00776_lc3_G31_07_tp0518
 142. 0.3027  QTP_Wetland_2020_chip_02001_lc1_G19_12_tp0518
 143. 0.3027  QTP_Wetland_2020_chip_00840_lc1_G30_08_tp0518
 144. 0.3023  QTP_Wetland_2020_chip_00866_lc3_G31_08_tp0518
 145. 0.3017  QTP_Wetland_2020_chip_00674_lc1_G31_07_tp0518
 146. 0.3016  QTP_Wetland_2020_chip_00706_lc0_G32_07_tp0518
 147. 0.3013  QTP_Wetland_2020_chip_02147_lc3_G06_13_tp0518
 148. 0.3013  QTP_Wetland_2020_chip_01667_lc0_G14_10_tp0518
 149. 0.3012  QTP_Wetland_2020_chip_00893_lc3_G31_08_tp0518
 150. 0.3007  QTP_Wetland_2020_chip_01834_lc2_G04_11_tp0518
 151. 0.3004  QTP_Wetland_2020_chip_00402_lc1_G31_05_tp0518
 152. 0.2999  QTP_Wetland_2020_chip_01322_lc0_G32_09_tp0518
 153. 0.2990  QTP_Wetland_2020_chip_01874_lc3_G09_11_tp0518
 154. 0.2990  QTP_Wetland_2020_chip_01020_lc3_G32_08_tp0518
 155. 0.2990  QTP_Wetland_2020_chip_00804_lc1_G35_07_tp0518
 156. 0.2990  QTP_Wetland_2020_chip_00538_lc1_G31_06_tp0518
 157. 0.2980  QTP_Wetland_2020_chip_00720_lc3_G31_07_tp0518
 158. 0.2980  QTP_Wetland_2020_chip_02073_lc1_G04_12_tp0518
 159. 0.2977  QTP_Wetland_2020_chip_00762_lc1_G35_07_tp0518
 160. 0.2971  QTP_Wetland_2020_chip_01086_lc1_G29_08_tp0518
 161. 0.2966  QTP_Wetland_2020_chip_00687_lc1_G31_07_tp0518
 162. 0.2963  QTP_Wetland_2020_chip_01861_lc3_G09_11_tp0518
 163. 0.2961  QTP_Wetland_2020_chip_00756_lc3_G32_07_tp0518
 164. 0.2953  QTP_Wetland_2020_chip_00727_lc1_G35_07_tp0518
 165. 0.2944  QTP_Wetland_2020_chip_00726_lc0_G32_07_tp0518
 166. 0.2939  QTP_Wetland_2020_chip_01507_lc3_G30_09_tp0518
 167. 0.2928  QTP_Wetland_2020_chip_01935_lc1_G07_11_tp0518
 168. 0.2926  QTP_Wetland_2020_chip_00549_lc3_G35_06_tp0518
 169. 0.2926  QTP_Wetland_2020_chip_02082_lc1_G04_12_tp0518
 170. 0.2925  QTP_Wetland_2020_chip_01321_lc3_G32_09_tp0518
 171. 0.2923  QTP_Wetland_2020_chip_00612_lc2_G15_06_tp0518
 172. 0.2923  QTP_Wetland_2020_chip_01123_lc1_G19_09_tp0518
 173. 0.2912  QTP_Wetland_2020_chip_01699_lc0_G05_10_tp0518
 174. 0.2911  QTP_Wetland_2020_chip_01788_lc1_G35_10_tp0518
 175. 0.2909  QTP_Wetland_2020_chip_00665_lc0_G28_07_tp0518
 176. 0.2905  QTP_Wetland_2020_chip_01805_lc3_G08_10_tp0518
 177. 0.2901  QTP_Wetland_2020_chip_01655_lc0_G05_10_tp0518
 178. 0.2900  QTP_Wetland_2020_chip_00731_lc2_G16_07_tp0518
 179. 0.2899  QTP_Wetland_2020_chip_01697_lc3_G05_10_tp0518
 180. 0.2897  QTP_Wetland_2020_chip_01572_lc3_G05_10_tp0518
 181. 0.2894  QTP_Wetland_2020_chip_02175_lc1_G06_14_tp0518
 182. 0.2889  QTP_Wetland_2020_chip_01014_lc3_G32_08_tp0518
 183. 0.2884  QTP_Wetland_2020_chip_01202_lc1_G11_09_tp0518
 184. 0.2881  QTP_Wetland_2020_chip_00579_lc1_G31_06_tp0518
 185. 0.2880  QTP_Wetland_2020_chip_01829_lc3_G09_11_tp0518
 186. 0.2878  QTP_Wetland_2020_chip_02134_lc1_G30_13_tp0518
 187. 0.2873  QTP_Wetland_2020_chip_01012_lc0_G32_08_tp0518
 188. 0.2871  QTP_Wetland_2020_chip_01930_lc0_G07_11_tp0518
 189. 0.2871  QTP_Wetland_2020_chip_01077_lc2_G35_08_tp0518
 190. 0.2869  QTP_Wetland_2020_chip_00885_lc0_G31_08_tp0518
 191. 0.2869  QTP_Wetland_2020_chip_01336_lc3_G33_09_tp0518
 192. 0.2861  QTP_Wetland_2020_chip_02185_lc1_G29_14_tp0518
 193. 0.2859  QTP_Wetland_2020_chip_00629_lc1_G29_07_tp0518
 194. 0.2857  QTP_Wetland_2020_chip_00546_lc1_G31_06_tp0518
 195. 0.2855  QTP_Wetland_2020_chip_00791_lc0_G31_07_tp0518
 196. 0.2851  QTP_Wetland_2020_chip_00653_lc3_G28_07_tp0518
 197. 0.2850  QTP_Wetland_2020_chip_00730_lc1_G20_07_tp0518
 198. 0.2841  QTP_Wetland_2020_chip_01674_lc1_G08_10_tp0518
 199. 0.2841  QTP_Wetland_2020_chip_00778_lc1_G30_07_tp0518
 200. 0.2837  QTP_Wetland_2020_chip_01689_lc3_G05_10_tp0518
 201. 0.2835  QTP_Wetland_2020_chip_00855_lc0_G31_08_tp0518
 202. 0.2832  QTP_Wetland_2020_chip_01247_lc0_G33_09_tp0518
 203. 0.2829  QTP_Wetland_2020_chip_01203_lc1_G11_09_tp0518
 204. 0.2828  QTP_Wetland_2020_chip_01151_lc1_G18_09_tp0518
 205. 0.2828  QTP_Wetland_2020_chip_00996_lc1_G29_08_tp0518
 206. 0.2821  QTP_Wetland_2020_chip_01698_lc0_G05_10_tp0518
 207. 0.2820  QTP_Wetland_2020_chip_01653_lc2_G33_10_tp0518
 208. 0.2816  QTP_Wetland_2020_chip_01160_lc3_G33_09_tp0518
 209. 0.2815  QTP_Wetland_2020_chip_01957_lc1_G20_11_tp0518
 210. 0.2800  QTP_Wetland_2020_chip_01683_lc0_G11_10_tp0518
 211. 0.2796  QTP_Wetland_2020_chip_00532_lc1_G31_06_tp0518
 212. 0.2791  QTP_Wetland_2020_chip_00654_lc1_G23_07_tp0518
 213. 0.2790  QTP_Wetland_2020_chip_00753_lc3_G32_07_tp0518
 214. 0.2789  QTP_Wetland_2020_chip_01381_lc3_G32_09_tp0518
 215. 0.2789  QTP_Wetland_2020_chip_01023_lc3_G32_08_tp0518
 216. 0.2785  QTP_Wetland_2020_chip_00705_lc3_G35_07_tp0518
 217. 0.2782  QTP_Wetland_2020_chip_00693_lc0_G32_07_tp0518
 218. 0.2777  QTP_Wetland_2020_chip_01685_lc3_G10_10_tp0518
 219. 0.2776  QTP_Wetland_2020_chip_01919_lc3_G20_11_tp0518
 220. 0.2775  QTP_Wetland_2020_chip_01692_lc3_G05_10_tp0518
 221. 0.2775  QTP_Wetland_2020_chip_01058_lc0_G32_08_tp0518
 222. 0.2775  QTP_Wetland_2020_chip_01866_lc3_G08_11_tp0518
 223. 0.2774  QTP_Wetland_2020_chip_01766_lc3_G09_10_tp0518
 224. 0.2771  QTP_Wetland_2020_chip_01248_lc1_G18_09_tp0518
 225. 0.2769  QTP_Wetland_2020_chip_00767_lc0_G31_07_tp0518
 226. 0.2768  QTP_Wetland_2020_chip_01300_lc2_G31_09_tp0518
 227. 0.2764  QTP_Wetland_2020_chip_01021_lc3_G32_08_tp0518
 228. 0.2760  QTP_Wetland_2020_chip_00817_lc3_G28_07_tp0518
 229. 0.2759  QTP_Wetland_2020_chip_01189_lc1_G11_09_tp0518
 230. 0.2755  QTP_Wetland_2020_chip_02135_lc3_G07_13_tp0518
 231. 0.2752  QTP_Wetland_2020_chip_02173_lc0_G06_14_tp0518
 232. 0.2752  QTP_Wetland_2020_chip_00716_lc0_G32_07_tp0518
 233. 0.2737  QTP_Wetland_2020_chip_01955_lc0_G07_11_tp0518
 234. 0.2733  QTP_Wetland_2020_chip_00732_lc2_G13_07_tp0518
 235. 0.2724  QTP_Wetland_2020_chip_01705_lc3_G05_10_tp0518
 236. 0.2713  QTP_Wetland_2020_chip_01048_lc0_G28_08_tp0518
 237. 0.2712  QTP_Wetland_2020_chip_01617_lc3_G05_10_tp0518
 238. 0.2712  QTP_Wetland_2020_chip_01688_lc3_G11_10_tp0518
 239. 0.2711  QTP_Wetland_2020_chip_00754_lc0_G31_07_tp0518
 240. 0.2706  QTP_Wetland_2020_chip_01259_lc3_G14_09_tp0518
 241. 0.2706  QTP_Wetland_2020_chip_00835_lc0_G31_07_tp0518
 242. 0.2705  QTP_Wetland_2020_chip_01654_lc1_G04_10_tp0518
 243. 0.2704  QTP_Wetland_2020_chip_00975_lc1_G29_08_tp0518
 244. 0.2698  QTP_Wetland_2020_chip_01984_lc0_G20_11_tp0518
 245. 0.2695  QTP_Wetland_2020_chip_01036_lc3_G32_08_tp0518
 246. 0.2689  QTP_Wetland_2020_chip_01069_lc1_G22_08_tp0518
 247. 0.2687  QTP_Wetland_2020_chip_00544_lc1_G35_06_tp0518
 248. 0.2682  QTP_Wetland_2020_chip_02069_lc0_G08_12_tp0518
 249. 0.2676  QTP_Wetland_2020_chip_01732_lc3_G33_10_tp0518
 250. 0.2668  QTP_Wetland_2020_chip_01558_lc2_G30_10_tp0518
 251. 0.2666  QTP_Wetland_2020_chip_01119_lc3_G35_09_tp0518
 252. 0.2665  QTP_Wetland_2020_chip_01976_lc3_G09_11_tp0518
 253. 0.2663  QTP_Wetland_2020_chip_00838_lc0_G28_08_tp0518
 254. 0.2661  QTP_Wetland_2020_chip_01600_lc0_G05_10_tp0518
 255. 0.2655  QTP_Wetland_2020_chip_01063_lc1_G29_08_tp0518
 256. 0.2655  QTP_Wetland_2020_chip_01377_lc3_G32_09_tp0518
 257. 0.2654  QTP_Wetland_2020_chip_00974_lc1_G33_08_tp0518
 258. 0.2654  QTP_Wetland_2020_chip_01581_lc1_G09_10_tp0518
 259. 0.2652  QTP_Wetland_2020_chip_00681_lc1_G29_07_tp0518
 260. 0.2649  QTP_Wetland_2020_chip_02180_lc1_G29_14_tp0518
 261. 0.2645  QTP_Wetland_2020_chip_01449_lc3_G32_09_tp0518
 262. 0.2642  QTP_Wetland_2020_chip_00664_lc3_G28_07_tp0518
 263. 0.2640  QTP_Wetland_2020_chip_02067_lc1_G04_12_tp0518
 264. 0.2630  QTP_Wetland_2020_chip_01964_lc1_G22_11_tp0518
 265. 0.2630  QTP_Wetland_2020_chip_01592_lc1_G05_10_tp0518
 266. 0.2625  QTP_Wetland_2020_chip_01084_lc0_G28_08_tp0518
 267. 0.2625  QTP_Wetland_2020_chip_01876_lc3_G08_11_tp0518
 268. 0.2624  QTP_Wetland_2020_chip_00820_lc0_G31_07_tp0518
 269. 0.2620  QTP_Wetland_2020_chip_01291_lc3_G32_09_tp0518
 270. 0.2617  QTP_Wetland_2020_chip_01227_lc1_G25_09_tp0518
 271. 0.2616  QTP_Wetland_2020_chip_01293_lc0_G31_09_tp0518
 272. 0.2614  QTP_Wetland_2020_chip_01902_lc3_G09_11_tp0518
 273. 0.2609  QTP_Wetland_2020_chip_02071_lc3_G09_12_tp0518
 274. 0.2606  QTP_Wetland_2020_chip_01662_lc1_G08_10_tp0518
 275. 0.2606  QTP_Wetland_2020_chip_01044_lc0_G28_08_tp0518
 276. 0.2602  QTP_Wetland_2020_chip_01968_lc1_G19_11_tp0518
 277. 0.2594  QTP_Wetland_2020_chip_00690_lc0_G28_07_tp0518
 278. 0.2584  QTP_Wetland_2020_chip_01375_lc1_G27_09_tp0518
 279. 0.2581  QTP_Wetland_2020_chip_01491_lc1_G33_09_tp0518
 280. 0.2581  QTP_Wetland_2020_chip_00548_lc2_G21_06_tp0518
 281. 0.2579  QTP_Wetland_2020_chip_00698_lc0_G35_07_tp0518
 282. 0.2578  QTP_Wetland_2020_chip_01783_lc1_G07_10_tp0518
 283. 0.2577  QTP_Wetland_2020_chip_01115_lc3_G35_09_tp0518
 284. 0.2577  QTP_Wetland_2020_chip_02178_lc3_G06_14_tp0518
 285. 0.2575  QTP_Wetland_2020_chip_01626_lc3_G33_10_tp0518
 286. 0.2574  QTP_Wetland_2020_chip_02100_lc2_G05_13_tp0518
 287. 0.2565  QTP_Wetland_2020_chip_01643_lc2_G29_10_tp0518
 288. 0.2559  QTP_Wetland_2020_chip_01350_lc2_G31_09_tp0518
 289. 0.2559  QTP_Wetland_2020_chip_01550_lc2_G23_10_tp0518
 290. 0.2559  QTP_Wetland_2020_chip_00862_lc1_G20_08_tp0518
 291. 0.2556  QTP_Wetland_2020_chip_00826_lc3_G31_07_tp0518
 292. 0.2550  QTP_Wetland_2020_chip_01946_lc1_G22_11_tp0518
 293. 0.2546  QTP_Wetland_2020_chip_01751_lc3_G32_10_tp0518
 294. 0.2545  QTP_Wetland_2020_chip_01113_lc3_G35_08_tp0518
 295. 0.2541  QTP_Wetland_2020_chip_00581_lc0_G32_06_tp0518
 296. 0.2538  QTP_Wetland_2020_chip_01260_lc1_G11_09_tp0518
 297. 0.2535  QTP_Wetland_2020_chip_01027_lc0_G32_08_tp0518
 298. 0.2534  QTP_Wetland_2020_chip_01246_lc1_G19_09_tp0518
 299. 0.2531  QTP_Wetland_2020_chip_01038_lc1_G29_08_tp0518
 300. 0.2531  QTP_Wetland_2020_chip_01932_lc1_G22_11_tp0518
 301. 0.2526  QTP_Wetland_2020_chip_01758_lc2_G14_10_tp0518
 302. 0.2518  QTP_Wetland_2020_chip_01752_lc0_G32_10_tp0518
 303. 0.2517  QTP_Wetland_2020_chip_00717_lc0_G31_07_tp0518
 304. 0.2517  QTP_Wetland_2020_chip_00541_lc3_G34_06_tp0518
 305. 0.2516  QTP_Wetland_2020_chip_01618_lc0_G14_10_tp0518
 306. 0.2511  QTP_Wetland_2020_chip_01529_lc3_G33_10_tp0518
 307. 0.2511  QTP_Wetland_2020_chip_00626_lc1_G31_07_tp0518
 308. 0.2507  QTP_Wetland_2020_chip_00564_lc1_G31_06_tp0518
 309. 0.2504  QTP_Wetland_2020_chip_01570_lc0_G13_10_tp0518
