v9 Active Learning — Top Uncertain Samples
=======================================================
Scored 1278 pool samples (average margin across 4 quadrants)

Rank  Score    Sample
------------------------------------------------------------
1     0.5258   QTP_Wetland_2020_chip_00656_lc2_G18_07_tp0518
2     0.5010   QTP_Wetland_2020_chip_01639_lc0_G14_10_tp0518
3     0.4470   QTP_Wetland_2020_chip_00749_lc1_G24_07_tp0518
4     0.4434   QTP_Wetland_2020_chip_00533_lc0_G23_06_tp0518
5     0.4422   QTP_Wetland_2020_chip_01970_lc3_G09_11_tp0518
6     0.4349   QTP_Wetland_2020_chip_01193_lc1_G28_09_tp0518
7     0.4257   QTP_Wetland_2020_chip_01730_lc3_G32_10_tp0518
8     0.4225   QTP_Wetland_2020_chip_00736_lc3_G35_07_tp0518
9     0.4189   QTP_Wetland_2020_chip_00646_lc1_G23_07_tp0518
10    0.4173   QTP_Wetland_2020_chip_00657_lc2_G18_07_tp0518
11    0.4134   QTP_Wetland_2020_chip_01727_lc3_G32_10_tp0518
12    0.4082   QTP_Wetland_2020_chip_01966_lc3_G09_11_tp0518
13    0.4053   QTP_Wetland_2020_chip_01070_lc0_G28_08_tp0518
14    0.4050   QTP_Wetland_2020_chip_01537_lc0_G29_10_tp0518
15    0.3994   QTP_Wetland_2020_chip_00536_lc0_G23_06_tp0518
16    0.3993   QTP_Wetland_2020_chip_01879_lc3_G33_11_tp0518
17    0.3980   QTP_Wetland_2020_chip_01951_lc1_G19_11_tp0518
18    0.3953   QTP_Wetland_2020_chip_01815_lc3_G33_11_tp0518
19    0.3911   QTP_Wetland_2020_chip_00871_lc1_G22_08_tp0518
20    0.3907   QTP_Wetland_2020_chip_00712_lc3_G35_07_tp0518
21    0.3907   QTP_Wetland_2020_chip_01967_lc1_G22_11_tp0518
22    0.3865   QTP_Wetland_2020_chip_00831_lc3_G22_07_tp0518
23    0.3837   QTP_Wetland_2020_chip_02126_lc1_G30_13_tp0518
24    0.3802   QTP_Wetland_2020_chip_02177_lc0_G06_14_tp0518
25    0.3796   QTP_Wetland_2020_chip_01283_lc3_G33_09_tp0518
26    0.3792   QTP_Wetland_2020_chip_00961_lc1_G29_08_tp0518
27    0.3782   QTP_Wetland_2020_chip_00501_lc3_G16_06_tp0518
28    0.3778   QTP_Wetland_2020_chip_00807_lc0_G31_07_tp0518
29    0.3760   QTP_Wetland_2020_chip_00758_lc0_G24_07_tp0518
30    0.3756   QTP_Wetland_2020_chip_02128_lc1_G30_13_tp0518

Full ranked list:
   1. 0.5258  QTP_Wetland_2020_chip_00656_lc2_G18_07_tp0518
   2. 0.5010  QTP_Wetland_2020_chip_01639_lc0_G14_10_tp0518
   3. 0.4470  QTP_Wetland_2020_chip_00749_lc1_G24_07_tp0518
   4. 0.4434  QTP_Wetland_2020_chip_00533_lc0_G23_06_tp0518
   5. 0.4422  QTP_Wetland_2020_chip_01970_lc3_G09_11_tp0518
   6. 0.4349  QTP_Wetland_2020_chip_01193_lc1_G28_09_tp0518
   7. 0.4257  QTP_Wetland_2020_chip_01730_lc3_G32_10_tp0518
   8. 0.4225  QTP_Wetland_2020_chip_00736_lc3_G35_07_tp0518
   9. 0.4189  QTP_Wetland_2020_chip_00646_lc1_G23_07_tp0518
  10. 0.4173  QTP_Wetland_2020_chip_00657_lc2_G18_07_tp0518
  11. 0.4134  QTP_Wetland_2020_chip_01727_lc3_G32_10_tp0518
  12. 0.4082  QTP_Wetland_2020_chip_01966_lc3_G09_11_tp0518
  13. 0.4053  QTP_Wetland_2020_chip_01070_lc0_G28_08_tp0518
  14. 0.4050  QTP_Wetland_2020_chip_01537_lc0_G29_10_tp0518
  15. 0.3994  QTP_Wetland_2020_chip_00536_lc0_G23_06_tp0518
  16. 0.3993  QTP_Wetland_2020_chip_01879_lc3_G33_11_tp0518
  17. 0.3980  QTP_Wetland_2020_chip_01951_lc1_G19_11_tp0518
  18. 0.3953  QTP_Wetland_2020_chip_01815_lc3_G33_11_tp0518
  19. 0.3911  QTP_Wetland_2020_chip_00871_lc1_G22_08_tp0518
  20. 0.3907  QTP_Wetland_2020_chip_00712_lc3_G35_07_tp0518
  21. 0.3907  QTP_Wetland_2020_chip_01967_lc1_G22_11_tp0518
  22. 0.3865  QTP_Wetland_2020_chip_00831_lc3_G22_07_tp0518
  23. 0.3837  QTP_Wetland_2020_chip_02126_lc1_G30_13_tp0518
  24. 0.3802  QTP_Wetland_2020_chip_02177_lc0_G06_14_tp0518
  25. 0.3796  QTP_Wetland_2020_chip_01283_lc3_G33_09_tp0518
  26. 0.3792  QTP_Wetland_2020_chip_00961_lc1_G29_08_tp0518
  27. 0.3782  QTP_Wetland_2020_chip_00501_lc3_G16_06_tp0518
  28. 0.3778  QTP_Wetland_2020_chip_00807_lc0_G31_07_tp0518
  29. 0.3760  QTP_Wetland_2020_chip_00758_lc0_G24_07_tp0518
  30. 0.3756  QTP_Wetland_2020_chip_02128_lc1_G30_13_tp0518
  31. 0.3750  QTP_Wetland_2020_chip_00915_lc1_G29_08_tp0518
  32. 0.3741  QTP_Wetland_2020_chip_02109_lc1_G31_13_tp0518
  33. 0.3712  QTP_Wetland_2020_chip_01954_lc1_G22_11_tp0518
  34. 0.3712  QTP_Wetland_2020_chip_02026_lc1_G22_12_tp0518
  35. 0.3702  QTP_Wetland_2020_chip_02127_lc1_G30_13_tp0518
  36. 0.3675  QTP_Wetland_2020_chip_00892_lc1_G30_08_tp0518
  37. 0.3672  QTP_Wetland_2020_chip_01049_lc3_G32_08_tp0518
  38. 0.3652  QTP_Wetland_2020_chip_01996_lc1_G22_12_tp0518
  39. 0.3645  QTP_Wetland_2020_chip_01982_lc1_G22_11_tp0518
  40. 0.3640  QTP_Wetland_2020_chip_00801_lc1_G30_07_tp0518
  41. 0.3616  QTP_Wetland_2020_chip_01471_lc3_G32_09_tp0518
